avg_travel_time,GEOID
22.96,06037265524
24.45,06037265601
29.65,06037265602
26.02,06037265701
28.84,06037265702
32.11,06037267101
23.95,06037267102
25.88,06037267201
26.72,06037267202
27.9,06037267300
20.87,06037267403
26.35,06037267404
26.75,06037267405
23.86,06037267406
24.44,06037267502
22.78,06037267503
26.8,06037267504
29.39,06037267600
26.92,06037267700
25.81,06037267800
22.87,06037267901
23.52,06037267902
28.62,06037269000
28.83,06037269100
26.73,06037269300
26.67,06037269500
29.88,06037269601
29.24,06037269602
31.02,06037269700
30.42,06037269800
34.38,06037269903
26.97,06037269905
29.81,06037269906
28.02,06037269907
29.67,06037269908
38.48,06037269909
34.6,06037270101
27.21,06037270102
31.26,06037270200
26.78,06037270300
27.69,06037271100
25.14,06037271200
28.52,06037271300
28.76,06037271400
24.4,06037271500
28.85,06037271600
25.52,06037271702
29.83,06037271703
23.49,06037271704
26.52,06037271801
32.89,06037271803
29.59,06037271804
25.7,06037271901
28.33,06037271902
29.65,06037272100
30.91,06037272201
31.23,06037272202
26.33,06037272301
32.13,06037272302
23.6,06037273100
28.85,06037273200
34.55,06037273300
27.64,06037273403
39.11,06037273404
27.45,06037273502
25.6,06037273600
23.96,06037273700
28.14,06037273800
27.98,06037273902
39.0,06037274100
31.94,06037274202
29.81,06037275101
31.18,06037275102
29.42,06037275200
28.77,06037275311
31.5,06037275312
24.46,06037275313
36.98,06037275400
35.07,06037275500
31.39,06037275603
35.3,06037275604
30.45,06037275605
31.13,06037276000
26.41,06037276101
32.55,06037276102
32.63,06037276400
20.04,06037276500
32.02,06037276601
30.04,06037276605
34.49,06037276606
26.58,06037276607
26.9,06037276608
31.23,06037277000
37.48,06037277100
37.63,06037277200
0.0,06037277400
37.32,06037278001
30.03,06037278102
34.07,06037291110
30.73,06037291120
36.06,06037291130
23.84,06037291210
32.91,06037291220
39.49,06037291300
30.22,06037292001
28.25,06037292002
27.82,06037293203
35.86,06037293204
26.29,06037293205
32.99,06037293206
30.91,06037293301
26.09,06037293302
29.16,06037293304
34.66,06037293306
35.42,06037293307
27.5,06037294110
26.4,06037294120
27.84,06037294200
28.73,06037294301
25.44,06037294302
29.87,06037294410
28.22,06037294421
31.35,06037294510
29.12,06037294520
28.44,06037294610
29.71,06037294620
35.51,06037294701
27.79,06037294810
28.63,06037294820
30.56,06037294830
32.79,06037294900
30.85,06037295103
29.1,06037296210
35.63,06037296220
38.33,06037296300
32.07,06037296401
34.66,06037296402
31.32,06037296500
32.91,06037296600
35.87,06037296901
34.97,06037296902
34.39,06037297001
27.67,06037297002
29.63,06037297110
34.86,06037297120
28.48,06037297201
35.82,06037297202
40.74,06037297300
29.56,06037297400
30.87,06037297501
35.51,06037297502
37.14,06037297601
44.13,06037297602
38.49,06037300100
33.38,06037300200
32.59,06037300301
29.43,06037300400
33.53,06037300501
26.03,06037300503
34.87,06037300601
22.26,06037300602
31.72,06037300701
28.0,06037300702
30.72,06037300800
33.04,06037300901
28.24,06037300902
29.92,06037301000
35.78,06037301100
25.88,06037301203
28.98,06037301204
31.08,06037301205
28.86,06037301206
25.02,06037301300
34.8,06037301400
36.99,06037301501
29.65,06037301502
27.73,06037301601
26.82,06037301602
25.92,06037301701
27.47,06037301702
29.9,06037301801
37.21,06037301802
25.76,06037301901
25.4,06037301902
26.87,06037302002
31.14,06037302003
25.45,06037302004
34.15,06037302102
30.4,06037302103
31.96,06037302104
29.28,06037302201
27.92,06037302202
31.18,06037302301
29.57,06037302302
29.61,06037302401
31.3,06037302503
32.3,06037302504
34.54,06037302505
28.73,06037302506
29.0,06037310100
29.64,06037310201
34.53,06037310202
26.73,06037310300
32.9,06037310400
31.37,06037310501
30.41,06037310601
33.01,06037310602
30.31,06037310701
29.04,06037310703
26.66,06037310704
27.07,06037310705
28.81,06037310800
29.08,06037310900
28.81,06037311000
29.54,06037311100
25.65,06037311200
26.09,06037311300
33.76,06037311400
25.84,06037311500
25.56,06037311601
28.08,06037311602
24.84,06037311700
30.34,06037311801
34.07,06037311802
35.13,06037320101
35.09,06037320102
27.29,06037320201
33.87,06037320202
30.39,06037320300
31.92,06037400205
35.2,06037400206
33.13,06037400207
26.16,06037400208
39.15,06037400209
34.74,06037400304
35.88,06037400402
39.19,06037400403
33.73,06037400404
33.68,06037400501
40.35,06037400602
36.48,06037400603
35.12,06037400605
31.62,06037400801
42.72,06037401001
35.28,06037401002
32.1,06037401101
31.53,06037401102
40.97,06037401201
34.56,06037401202
37.8,06037401203
34.23,06037401303
32.66,06037401304
33.45,06037401311
38.64,06037401312
27.69,06037401500
42.59,06037401601
37.44,06037401602
33.58,06037401705
34.5,06037401706
33.41,06037401707
31.73,06037401801
29.78,06037401802
13.96,06037401901
30.18,06037401902
31.19,06037402001
32.25,06037402002
35.78,06037402101
32.32,06037402102
31.46,06037402200
35.94,06037402301
32.41,06037402303
34.37,06037402304
29.77,06037402403
14.97,06037402404
32.58,06037402405
40.59,06037402406
35.52,06037402501
36.65,06037402503
34.51,06037402504
38.31,06037402601
41.46,06037402602
32.35,06037402702
38.3,06037402703
