co2_metric_tons_per_household,GEOID
3.29,06037241300
3.076,06037241400
2.855,06037242000
2.138,06037242100
3.066,06037242200
3.217,06037242300
2.159,06037242600
3.717,06037242700
3.97,06037243000
2.807,06037243100
4.026,06037262501
3.688,06037262704
4.038,06037262706
4.341,06037264000
3.208,06037264102
3.047,06037264103
3.122,06037264301
3.398,06037264302
2.959,06037265201
2.716,06037265202
2.642,06037265303
2.685,06037265304
1.999,06037265305
3.356,06037265410
4.26,06037265420
2.325,06037265510
3.385,06037265520
3.558,06037265601
3.338,06037265602
3.292,06037265700
3.52,06037267100
3.437,06037267200
2.978,06037267300
3.229,06037267402
3.105,06037267403
3.087,06037267404
3.533,06037267501
3.296,06037267502
3.398,06037267600
3.089,06037267700
3.509,06037267800
2.761,06037267901
3.545,06037267902
3.513,06037269000
3.108,06037269100
4.322,06037269300
4.282,06037269500
3.288,06037269601
3.193,06037269602
3.565,06037269700
3.306,06037269800
3.057,06037269903
3.129,06037269904
3.213,06037269905
3.44,06037269906
3.329,06037269907
2.867,06037270100
3.396,06037270200
3.481,06037270300
3.725,06037271100
3.598,06037271200
3.765,06037271300
4.073,06037271400
3.456,06037271500
3.576,06037271600
3.322,06037271701
3.333,06037271702
3.118,06037271801
3.216,06037271802
3.585,06037271901
3.532,06037271902
3.899,06037272100
3.135,06037272201
3.356,06037272202
3.503,06037272301
2.953,06037272302
4.141,06037273100
3.479,06037273200
3.093,06037273300
2.394,06037273402
2.996,06037273502
3.596,06037273600
3.79,06037273700
3.418,06037273800
3.375,06037273902
3.61,06037274100
3.769,06037275101
3.399,06037275102
3.349,06037275200
3.344,06037275302
3.906,06037275311
3.519,06037275400
3.342,06037275500
3.838,06037275602
3.567,06037275603
4.039,06037276000
3.286,06037276100
3.916,06037276400
3.815,06037276500
4.053,06037276601
3.268,06037276603
3.201,06037276604
4.083,06037277000
4.451,06037277100
3.532,06037277200
3.112,06037277400
3.882,06037278001
4.057,06037278102
3.08,06037291110
3.256,06037291120
3.396,06037291130
3.717,06037291210
3.844,06037291220
3.764,06037292000
3.784,06037293201
3.621,06037293202
3.735,06037293301
3.862,06037293302
3.81,06037293304
4.111,06037293306
3.406,06037293307
4.127,06037294110
3.884,06037294120
