B19013_001E,geoid
104375,06037407901
85450,06037407902
103472,06037408003
91020,06037408004
128260,06037408005
91875,06037408006
98841,06037408133
111667,06037408134
87023,06037408135
122813,06037408136
90385,06037408137
90764,06037408138
104861,06037408139
74663,06037408140
98824,06037408141
74425,06037408212
74028,06037408213
82978,06037408301
79412,06037408302
121250,06037408303
98578,06037408401
105789,06037408402
131838,06037408503
102222,06037408504
109787,06037408505
100900,06037408623
123438,06037408624
125417,06037408625
98346,06037408626
97434,06037408627
87361,06037408628
131250,06037408629
99609,06037408631
134545,06037408703
70000,06037408705
130313,06037408707
124565,06037408722
69883,06037408724
77860,06037408725
53045,06037408800
75625,06037408900
76875,06037409000
95795,06037409100
135250,06037430003
96397,06037430004
122595,06037430005
60583,06037430101
97844,06037430102
127730,06037430200
151530,06037430301
94058,06037430302
191685,06037430400
186213,06037430501
114815,06037430502
190070,06037430600
109702,06037430701
98333,06037430721
90868,06037430723
102969,06037430724
92697,06037430801
152564,06037430802
119265,06037430803
84671,06037430901
105435,06037430902
76316,06037431002
86383,06037431003
94484,06037431004
97326,06037431100
104412,06037431200
110769,06037431300
86538,06037431400
65917,06037431501
101792,06037431502
107446,06037431600
117138,06037431701
88348,06037431800
101875,06037431900
94071,06037432001
90991,06037432002
130142,06037432101
112302,06037432102
115648,06037432201
81528,06037432202
91250,06037432300
79140,06037432401
61563,06037432402
76250,06037432501
114688,06037432502
61775,06037432601
71875,06037432602
67560,06037432700
36964,06037432801
59861,06037432802
62618,06037432901
80486,06037432902
67664,06037433103
64655,06037433200
61210,06037433302
38969,06037433304
55417,06037433305
64226,06037433306
86058,06037433307
68029,06037433402
54708,06037433403
65865,06037433505
47230,06037433506
73314,06037433601
42465,06037433602
85517,06037433803
65213,06037433804
69348,06037433901
53681,06037433903
82213,06037434001
69507,06037434003
105663,06037434004
77992,06037434100
249861,06037460001
189491,06037460002
177364,06037460101
153750,06037460200
156250,06037460301
92009,06037460302
124167,06037460401
229276,06037460501
250001,06037460502
208533,06037460601
196471,06037460700
250001,06037460800
93083,06037460900
125302,06037461000
119375,06037461100
172917,06037461200
93264,06037461300
97014,06037461400
96313,06037461501
72887,06037461502
77986,06037461600
126250,06037461700
64583,06037461901
66786,06037461902
90776,06037462001
42101,06037462002
93534,06037462100
48667,06037462201
103618,06037462202
89018,06037462301
74679,06037462302
147727,06037462400
126488,06037462500
138500,06037462600
66648,06037462700
108654,06037462800
121176,06037462900
120845,06037463000
105714,06037463103
93073,06037463200
138542,06037463300
126225,06037463400
99963,06037463500
98457,06037463601
122500,06037463602
175230,06037463700
220750,06037463800
131630,06037463900
147632,06037464000
182206,06037464101
212014,06037464102
176389,06037464200
144219,06037480002
99243,06037480011
104097,06037480012
91875,06037480101
114743,06037480102
144000,06037480201
128000,06037480202
106607,06037480302
94497,06037480303
76780,06037480304
90580,06037480400
119167,06037480500
129500,06037480601
120188,06037480602
167452,06037480702
178200,06037480703
115415,06037480704
106447,06037480802
102619,06037480803
87530,06037480804
73211,06037480901
64732,06037480902
86667,06037480903
71339,06037481001
84098,06037481002
98047,06037481101
