B25018_001E,geoid
4.9,06037232300
5.0,06037232401
5.1,06037232402
5.1,06037232500
4.7,06037232601
5.0,06037232602
4.9,06037232701
4.9,06037232702
4.4,06037232800
5.2,06037234001
4.4,06037234002
5.6,06037234200
3.9,06037234301
3.8,06037234302
4.7,06037234501
4.5,06037234502
5.1,06037234600
4.2,06037234700
4.5,06037234800
3.4,06037234901
3.5,06037234902
5.3,06037235100
4.5,06037235201
3.7,06037235202
4.9,06037236001
3.3,06037236101
3.4,06037236102
3.4,06037236203
3.8,06037236204
3.6,06037236205
3.4,06037236206
4.7,06037236400
4.6,06037237101
4.4,06037237102
4.9,06037237201
4.4,06037237202
5.1,06037237300
5.1,06037237401
4.9,06037237402
3.9,06037237500
4.7,06037237600
4.7,06037237710
4.5,06037237720
5.7,06037237800
5.8,06037237900
5.0,06037238000
5.0,06037238100
4.5,06037238200
4.5,06037238310
4.0,06037238320
5.4,06037238400
4.4,06037239201
4.7,06037239202
4.6,06037239310
4.3,06037239320
5.0,06037239330
4.5,06037239501
4.8,06037239502
4.7,06037239601
4.7,06037239602
4.3,06037239701
4.9,06037239702
5.1,06037239801
4.4,06037239802
4.3,06037240010
5.0,06037240020
5.0,06037240200
4.2,06037240301
4.6,06037240302
4.3,06037240401
4.7,06037240402
4.7,06037240500
4.9,06037240600
4.8,06037240700
4.8,06037240800
5.0,06037240901
4.6,06037240902
5.1,06037241001
4.6,06037241002
4.9,06037241110
4.1,06037241120
4.9,06037241201
5.0,06037241202
4.6,06037241300
4.7,06037241400
4.8,06037242000
4.5,06037242100
4.9,06037242201
4.2,06037242202
4.4,06037242300
4.1,06037242600
4.8,06037242700
5.0,06037243001
5.0,06037243002
4.2,06037243100
8.0,06037261102
6.6,06037261103
6.5,06037261104
6.3,06037261200
8.0,06037262100
7.1,06037262200
7.2,06037262301
6.4,06037262302
7.3,06037262303
7.9,06037262400
7.4,06037262501
7.3,06037262601
6.2,06037262604
5.3,06037262704
6.8,06037262706
7.2,06037262802
7.3,06037264000
3.7,06037264102
3.6,06037264103
3.8,06037264303
3.6,06037264304
4.8,06037264305
3.9,06037264306
5.0,06037265100
4.2,06037265201
3.4,06037265203
2.8,06037265204
-666666666.0,06037265301
3.4,06037265303
3.1,06037265304
3.1,06037265306
3.1,06037265307
6.1,06037265410
6.5,06037265420
2.5,06037265521
3.0,06037265522
4.1,06037265523
4.0,06037265524
4.6,06037265601
4.4,06037265602
4.2,06037265701
4.3,06037265702
4.3,06037267101
4.2,06037267102
4.1,06037267201
4.1,06037267202
3.2,06037267300
3.3,06037267403
3.5,06037267404
3.2,06037267405
3.3,06037267406
3.5,06037267502
3.8,06037267503
3.3,06037267504
4.3,06037267600
3.4,06037267700
4.4,06037267800
4.6,06037267901
4.5,06037267902
5.6,06037269000
4.2,06037269100
6.9,06037269300
7.2,06037269500
3.8,06037269601
3.7,06037269602
4.4,06037269700
3.7,06037269800
2.7,06037269903
2.8,06037269905
3.1,06037269906
3.2,06037269907
2.2,06037269908
3.0,06037269909
3.1,06037270101
2.9,06037270102
3.9,06037270200
5.4,06037270300
4.9,06037271100
3.4,06037271200
4.8,06037271300
5.8,06037271400
4.9,06037271500
3.9,06037271600
3.4,06037271702
3.9,06037271703
3.6,06037271704
2.9,06037271801
2.9,06037271803
4.0,06037271804
4.0,06037271901
3.4,06037271902
5.0,06037272100
3.5,06037272201
3.4,06037272202
4.4,06037272301
3.0,06037272302
4.6,06037273100
3.8,06037273200
3.4,06037273300
2.9,06037273403
2.8,06037273404
3.5,06037273502
4.2,06037273600
4.6,06037273700
3.5,06037273800
4.2,06037273902
4.0,06037274100
4.3,06037274202
3.9,06037275101
3.4,06037275102
3.5,06037275200
4.1,06037275311
4.4,06037275312
4.7,06037275313
3.3,06037275400
4.0,06037275500
4.4,06037275603
3.5,06037275604
3.7,06037275605
4.8,06037276000
3.1,06037276101
4.0,06037276102
6.3,06037276400
5.5,06037276500
6.0,06037276601
4.1,06037276605
4.0,06037276606
3.3,06037276607
3.3,06037276608
5.7,06037277000
5.4,06037277100
3.8,06037277200
-666666666.0,06037277400
4.5,06037278001
4.8,06037278102
4.0,06037291110
3.9,06037291120
4.8,06037291130
4.5,06037291210
4.3,06037291220
5.5,06037291300
3.7,06037292001
5.3,06037292002
3.8,06037293203
4.3,06037293204
3.7,06037293205
4.3,06037293206
5.0,06037293301
5.3,06037293302
3.6,06037293304
5.1,06037293306
3.8,06037293307
4.8,06037294110
4.2,06037294120
4.7,06037294200
5.1,06037294301
4.4,06037294302
4.6,06037294410
3.6,06037294421
3.8,06037294510
4.2,06037294520
3.8,06037294610
4.4,06037294620
3.6,06037294701
3.8,06037294810
3.3,06037294820
4.0,06037294830
4.4,06037294900
5.2,06037295103
4.2,06037296210
3.6,06037296220
4.7,06037296300
5.1,06037296401
5.1,06037296402
3.7,06037296500
3.7,06037296600
4.1,06037296901
4.0,06037296902
5.7,06037297001
4.6,06037297002
3.6,06037297110
4.3,06037297120
4.0,06037297201
4.3,06037297202
5.4,06037297300
5.6,06037297400
5.1,06037297501
4.4,06037297502
4.7,06037297601
4.0,06037297602
6.1,06037300100
5.7,06037300200
5.5,06037300301
5.0,06037300400
5.1,06037300501
3.9,06037300503
4.2,06037300601
5.5,06037300602
6.3,06037300701
7.6,06037300702
4.5,06037300800
6.7,06037300901
6.3,06037300902
5.1,06037301000
5.0,06037301100
4.4,06037301203
3.8,06037301204
6.0,06037301205
4.5,06037301206
6.9,06037301300
6.4,06037301400
6.3,06037301501
4.2,06037301502
3.9,06037301601
4.3,06037301602
5.2,06037301701
4.6,06037301702
3.8,06037301801
3.8,06037301802
4.0,06037301901
4.4,06037301902
3.8,06037302002
3.8,06037302003
4.0,06037302004
4.3,06037302102
4.3,06037302103
4.1,06037302104
3.5,06037302201
3.9,06037302202
4.0,06037302301
3.9,06037302302
3.7,06037302401
3.9,06037302503
4.0,06037302504
4.0,06037302505
4.5,06037302506
6.9,06037310100
4.8,06037310201
